Random waveform, supplied seed
Total number of intervals = 120 (6927, 52892, 98921, 61129, 40613, 53226, 38560, 103465, 104758, 94759, 37799, 8296, 69443, 12517, 43591, 20430, 93758, 10485, 16518, 83230, 5484, 55611, 20774, 96726, 32442, 73039, 74055, 51197, 59442, 35654, 78747, 42212, 52488, 36950, 16762, 79473, 61431, 87172, 108181, 80515, 37149, 13444, 72057, 70041, 90162, 52082, 24258, 72013, 58012, 45398, 50177, 34504, 66010, 73937, 55020, 53235, 97743, 5419, 14764, 7451, 48208, 16149, 78989, 18886, 75954, 44409, 16431, 85707, 58253, 103867, 21604, 90401, 84467, 99700, 32052, 18173, 67789, 51929, 83850, 18614, 29315, 108090, 27024, 49907, 9150, 34328, 51881, 14569, 81517, 78694, 93409, 39093, 18729, 70818, 21942, 91810, 39588, 40957, 62645, 15539, 107672, 32954, 58866, 23739, 54701, 60706, 72350, 58661, 34912, 103268, 38703, 83358, 57408, 86837, 33517, 66204, 73758, 99742, 109462, 94453)
Average QPS expected = 55318
Timestamp start: 1777996494522
Timestamp end: 1777998294839

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      544.1   690.3    80.4   176.5   203.0   343.2   424.2   480.2   529.3   606.7  1112.1  1786.3  3486.9  7529.7  8382.3 108121.3   108090
read      277.3   103.4    86.8   150.4   167.3   277.8   311.7   329.3   341.6   356.8   374.3   403.2   470.7   909.1  3875.3  27005.0    27024
read      276.9   127.6    80.4   134.0   148.0   268.4   318.8   344.6   363.9   385.9   413.2   456.7   568.3   966.5  4201.7  49872.8    49907
read      256.9    91.3   101.3   173.7   190.3   251.8   273.0   285.3   293.5   304.4   317.7   341.1   403.6  1211.9  3533.0   9131.4     9150
read      280.0   110.6    80.4   143.3   159.1   279.4   318.5   338.9   353.2   370.0   392.4   426.5   523.5  1045.8  2857.4  34295.3    34328
read      276.7   134.4    86.8   132.9   146.6   266.6   316.4   342.5   362.0   384.9   414.6   462.9   599.3  1053.8  3916.2  51841.1    51881
read      263.0   137.0    93.8   163.6   183.5   258.1   282.1   294.9   305.1   316.3   332.5   358.8   434.4  1145.8  7021.7  14562.3    14569
read      295.6   176.5    80.4   133.3   147.0   256.4   318.9   357.5   389.9   432.6   496.1   592.9   844.3  1728.1  3693.3  81461.6    81517
read      291.5   171.2    80.4   131.8   145.0   255.1   317.6   354.8   385.2   425.1   482.6   577.8   826.3  1663.1  3466.2  78499.0    78694
read      323.6   241.3    86.8   136.6   151.0   260.2   324.7   368.9   410.0   473.7   571.0   729.2  1243.2  2415.0  5005.0  93413.3    93409
read      276.6   106.3    86.8   139.6   154.2   275.8   318.1   339.8   355.3   372.6   395.8   429.9   518.9   800.0  3000.8  39018.4    39093
read      273.9    95.7    93.8   161.1   180.7   273.6   301.5   316.2   326.9   339.7   356.5   382.5   442.1   900.6  3224.5  18730.3    18729
read      282.8   149.7    80.4   130.4   143.3   256.5   316.6   350.3   376.6   409.5   454.6   529.2   712.6  1455.8  2968.5  70800.7    70818
read      275.0   102.5    93.8   156.9   175.1   275.5   305.9   320.9   332.9   345.0   363.1   389.8   451.0   865.2  3146.5  21859.9    21942
read      314.2   225.6    80.4   134.5   148.8   256.7   320.8   364.0   402.4   461.1   547.6   687.1  1139.7  2270.1  6082.5  91574.5    91810
read      277.8   111.5    80.4   139.4   154.1   276.0   319.5   341.6   357.7   375.4   399.1   434.2   526.5   812.0  3182.8  39670.3    39588
read      278.2   109.3    86.8   139.0   153.6   275.7   320.2   343.1   359.9   378.4   401.6   436.4   536.5   836.7  2222.1  41058.1    40957
read      280.3   136.3    80.4   131.2   144.5   261.8   318.5   349.0   372.5   400.7   436.9   500.8   660.5  1178.7  2983.3  62540.7    62645
read      268.1   102.6    93.8   164.6   184.8   265.6   291.2   305.1   314.8   326.4   341.9   367.7   431.7  1085.0  4013.1  15572.5    15539
read      511.6   636.8    86.8   167.9   192.5   328.1   404.4   459.7   507.8   590.0   986.1  1692.7  3375.8  7217.3  8430.6 107643.7   107672
read      277.5    99.3    86.8   143.9   159.5   278.0   316.2   336.0   349.5   366.4   387.7   420.1   504.1   896.7  2322.7  33011.9    32954
read      279.0   127.8    80.4   131.8   145.3   264.1   318.8   347.9   369.9   395.9   429.6   486.2   630.5  1168.0  2248.6  58888.7    58866
read      273.9    95.5    86.8   152.8   170.2   274.7   305.9   321.3   333.7   346.1   365.2   393.1   459.9   830.9  3683.0  23748.5    23739
read      279.8   126.3    80.4   133.0   146.9   267.7   320.7   348.5   369.3   394.0   425.7   476.2   615.1  1040.3  2917.5  54741.9    54701
read      279.1   133.5    80.4   131.2   144.6   262.6   318.4   348.0   370.5   397.4   432.1   490.9   639.4  1219.1  3096.5  60689.8    60706
read      284.9   153.4    80.4   130.8   143.9   257.4   317.2   351.1   377.8   411.9   459.2   538.1   729.8  1527.1  3198.7  72404.8    72350
read      281.5   137.2    86.8   132.4   146.2   266.4   320.8   350.1   372.0   398.3   432.2   490.7   639.1  1118.4  3455.4  58638.6    58661
