config,target,runs,mean_qps,std_qps,min_qps,max_qps,mean_p95_ms,std_p95_ms,min_p95_ms,max_p95_ms,mean_avg_ms,mean_p99_ms,cpu_avg_percent,cpu_max_percent,any_cpu_warning
ibench-l1i,30000.0,3,19482.466666666667,5907.9969171736475,12662.6,23039.0,7.935466666666666,2.665304953158894,6.3328,11.0122,4.018833333333333,10.667933333333332,66.5,100.0,True
ibench-l1i,35000.0,3,19288.333333333332,6423.676250663115,11902.2,23570.8,8.780333333333333,4.183491621042564,6.0893999999999995,13.600100000000001,4.178633333333333,11.266033333333333,66.5,100.0,True
ibench-l1i,40000.0,3,21024.533333333336,3935.7800209530683,16572.0,24039.2,6.9087,1.0473044304308083,5.9894,8.0488,3.5104333333333333,8.810066666666666,66.5,100.0,True
ibench-l1i,45000.0,3,20582.466666666664,4708.820592604196,15165.0,23692.8,7.396866666666667,1.9416933700595806,6.0922,9.6283,3.6632666666666664,10.557933333333333,66.5,100.0,True
ibench-l1i,50000.0,3,20613.433333333334,4835.372236274405,15031.4,23511.7,7.114433333333333,1.614680483356796,6.0394,8.971200000000001,3.6558333333333337,10.256633333333333,66.5,100.0,True
ibench-l1i,55000.0,3,19368.733333333334,5893.923997926452,12563.4,22834.0,8.136666666666667,2.7701041935879123,6.5059,11.3351,4.071533333333334,10.711933333333334,66.5,100.0,True
ibench-l1i,60000.0,3,18587.2,9079.03440460493,8112.4,24195.8,11.301966666666667,9.228450174505648,5.8441,21.957,5.314233333333333,15.120966666666666,66.5,100.0,True
ibench-l1i,65000.0,3,20708.066666666666,4519.426920897531,15506.0,23668.4,7.194566666666667,1.6571893082364892,5.9905,9.0846,3.6198333333333337,10.3166,66.5,100.0,True
ibench-l1i,70000.0,3,21269.733333333334,3384.709856595294,17365.0,23367.2,6.873666666666668,0.9551728028651848,6.28,7.9755,3.4418666666666664,8.942966666666665,66.5,100.0,True
ibench-l1i,75000.0,3,22119.2,2968.4643656274543,18825.7,24588.4,6.5973,1.0465583213562442,5.670100000000001,7.7321,3.2802333333333333,8.459033333333332,66.5,100.0,True
ibench-l1i,80000.0,3,20809.666666666668,4390.4916004171255,15774.0,23835.4,7.2340333333333335,1.3694365130714645,6.3318,8.8098,3.5865666666666667,10.041400000000001,66.5,100.0,True
ibench-l2,5000.0,3,5005.066666666667,66.08610544837205,4933.4,5063.6,0.5421666666666667,0.20616899217227921,0.3979,0.7783,0.3377333333333334,1.0086666666666666,66.74,100.0,True
ibench-l2,10000.0,3,10046.133333333333,53.28201697883994,9984.8,10081.0,0.7765666666666666,0.4979506936769275,0.4745,1.3513,0.4108,1.6336666666666666,66.74,100.0,True
ibench-l2,15000.0,3,14910.333333333334,5.001333155603144,14904.6,14913.8,0.6127333333333334,0.15146122716171728,0.5067,0.7862,0.3760333333333333,1.1411666666666667,66.74,100.0,True
ibench-l2,20000.0,3,19987.8,24.681166909201934,19969.2,20015.8,0.6733666666666666,0.10269139853626176,0.5973999999999999,0.7902,0.3886,0.8943333333333334,66.74,100.0,True
ibench-l2,25000.0,3,25103.86666666667,67.85199579476912,25037.6,25173.2,1.1822,0.7557758860932254,0.6625,2.0492,0.5046666666666667,2.3698,66.74,100.0,True
